origin,dest,count,average_delay
DEN,PHL,308,27.25609756
DEN,CLT,522,23.42045455
DEN,PHX,482,24.39130435
PHX,MIA,494,30.43089431
PHX,DFW,2213,28.98216409
PHX,ORD,1435,45.5130597
PHX,EWR,323,33.5
PHX,SNA,557,27.94258373
PHX,DTW,435,27.55704698
PHX,JFK,442,37.75247525
PHX,PHL,616,25.99134199
PHX,CLT,786,19.85595568
PHX,SMF,428,22.01265823
PHX,SJC,427,23.1119403
PHX,SLC,435,21.56302521
PHX,LAX,614,33.54545455
PHX,SEA,487,27.78902954
PHX,PDX,484,27.1875
PHX,SFO,492,31.25465839
PHX,LAS,591,34.02764977
PHX,SAN,484,23.05813953
PHX,HNL,228,35.32407407
PHX,OGG,143,23.34848485
PHX,DEN,484,26.86016949
PHX,AUS,78,18.75
PHX,MSP,402,29.872
PHX,DCA,260,30.88135593
PHX,STL,304,18.41414141
PHX,PIT,171,33.25581395
PHX,BWI,219,25.92929293
PHX,CMH,171,22.18181818
PHX,MCO,217,28.55045872
PHX,ATL,308,25.90756303
PHX,BOS,314,31.15671642
PHX,OMA,169,19.47169811
PHX,IND,217,27.77272727
PHX,IAH,394,27.57857143
PHX,BOI,233,27.38372093
PHX,OAK,182,28.21818182
PHX,RNO,321,26.13513514
PHX,LIH,102,28.46666667
PHX,MKE,171,22.45283019
PHX,ONT,319,29.21167883
PHX,GEG,183,32.13953488
PHX,KOA,71,26.46875
PHX,MCI,205,25.36
PHX,TPA,141,20.796875
PHX,FLL,84,21.95
PHX,ANC,90,20.02222222
PHX,CLE,75,38.77777778
PHX,DSM,88,40.57692308
MCO,MIA,2429,36.94415719
MCO,DFW,2716,42.49349241
MCO,LAX,537,43.81621622
MCO,JFK,540,52.57195572
MCO,ORD,1272,44.5704584
MCO,CLT,804,34.74923547
MCO,PHL,712,36.84827586
MCO,DCA,513,35.97311828
MCO,PHX,217,23.70512821
DFW,MIA,2948,37.79184248
DFW,MCO,2719,33.11749347
DFW,LGA,3336,30.84861718
DFW,DCA,2514,28.97454931
DFW,BOS,1824,34.46130952
DFW,CLT,2020,26.74342105
DFW,STL,2050,32.20639535
DFW,TPA,1838,33.11657303
DFW,LAX,4419,38.31153389
DFW,BNA,2197,31.71847134
DFW,ATL,2346,34.32451093
DFW,DEN,2617,32.44981061
DFW,RDU,1285,29.51572327
DFW,FLL,1615,31.00464396
DFW,PHL,1730,31.66923077
DFW,IAH,1986,34.67142857
DFW,MCI,1885,30.04296296
DFW,LAS,2823,33.9
DFW,BDL,513,29.5410628
DFW,SJC,1196,33.60158311
DFW,ORD,4271,40.60392902
DFW,IND,1283,33.5031185
DFW,SEA,2139,29.93994778
DFW,DTW,1427,35.43469786
DFW,SFO,2670,37.32460243
DFW,SNA,2332,27.48563969
DFW,EWR,1514,37.20991254
DFW,HDN,111,26.68421053
DFW,MEM,625,40.51207729
DFW,RIC,626,35.48979592
DFW,SAT,3808,32.53149891
DFW,PHX,2217,34.82378223
DFW,AUS,3751,31.59732959
DFW,MSY,1787,35.86168521
DFW,CMH,1211,36.42602041
DFW,OMA,1085,31.9697733
DFW,IAD,1009,32.16172507
DFW,JAX,1051,34.67934783
DFW,COS,880,34.79470199
DFW,DAY,770,31.11702128
DFW,CLE,960,39.04929577
DFW,SAN,2395,34.05561993
DFW,PDX,1005,30.90855457
DFW,PBI,679,27.25773196
DFW,MFE,1239,38.26851852
DFW,PIT,1177,34.35770235
DFW,RSW,800,32.44135802
